Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
29/12/2017;0;1008,1;22,1;31,7;26,3;22,8;78,2;55;10,7;2,3
30/12/2017;null;1007,4;22,1;33,4;null;23,3;73,6;48;12,3;4,5
31/12/2017;0;1007,3;21,8;34,1;27,8;24,8;70,8;48;11,8;4,7
01/01/2018;7,6;1006,2;23,2;32;25,7;22,6;87,1;60;13,2;2,8
02/01/2018;10,8;1003,3;23,3;31;26,2;22;85;65;11,5;3,2
03/01/2018;0,2;1001,8;23,7;32,8;27,1;24,6;82,1;59;8,3;3,3
04/01/2018;1,6;1007,4;23,5;30,6;25,7;24,1;88;69;7,8;2,1
05/01/2018;0,2;1010,4;22,7;32,2;26,3;22,5;81,4;57;11,7;3,2
06/01/2018;0;1010,2;21,9;32;26,7;23,3;75,6;52;13;5,3
07/01/2018;0;1009,7;21,4;32,2;26,4;22,3;75,2;50;15;5,1
08/01/2018;0;1012,2;21,5;31,5;26,4;22,8;75,8;46;11,9;4,2
09/01/2018;0;1014,5;22,3;31,4;25,9;21,8;81,5;58;8,3;1,7
10/01/2018;6,6;1015,1;22,2;30,4;25,6;22,3;82,8;57;7,8;1,5
11/01/2018;7,6;1013,2;22,2;30;25;21,7;85,3;62;8,2;2,2
12/01/2018;0,2;1010,2;21,5;31,6;25,9;20,6;78,1;50;13,6;3,7
13/01/2018;0;1008,7;21,4;32,8;26,8;21,8;73,7;49;14,1;5,1
14/01/2018;0;1009,8;21,8;33,3;27,1;23;73,6;49;14,8;5,2
15/01/2018;0;1010,5;21,7;33,7;26,9;23,8;74,1;49;12,5;5,3
16/01/2018;0;1011,4;21,9;33,4;27,3;23,7;73,8;48;12,6;5,2
17/01/2018;0;1011,5;20,7;32,4;26,8;22,1;70,8;46;14,4;4,8
18/01/2018;0;1011,4;20,6;34,4;27,4;23,1;67,7;42;14,5;5,5
19/01/2018;0;1009,9;20,9;34,7;27,4;22,5;69,2;44;11,6;4,5
20/01/2018;0;1009,8;21,4;33,3;26,6;20,2;74,6;49;10,1;3,3
21/01/2018;0;1009,6;21;34;26,5;20,6;74,3;38;12,8;4,1
22/01/2018;0;1008,3;20,9;32,8;26,6;21;72,2;43;14,6;5
23/01/2018;0;1009,1;20,6;33,2;27;22,4;69,2;45;15;5,6
24/01/2018;0;1009,1;20,5;32;26,3;20,4;71,8;47;14,8;4,5
25/01/2018;0;1007,6;20,6;33,8;26,4;20,4;72,7;39;14,3;4,9
26/01/2018;0;1007;21;33,3;26,2;21;74,5;45;13,8;4
27/01/2018;0;1007,5;20,8;32,5;25,9;20,5;76;51;7,3;1,7
28/01/2018;0;1007,5;21,7;31,7;25,9;20,5;78,8;56;7,7;1,6
29/01/2018;0;1004,2;21,6;35,8;28;23,1;70,3;42;12,4;4,6
30/01/2018;1;1003,9;21,6;27,5;24,9;22,9;82;66;9,3;2,8
31/01/2018;27;1005,4;21,9;25,3;23;22,6;94;82;7,5;2,5
01/02/2018;13,2;1006,8;20,2;28,5;22;19,4;89,8;64;7,5;1,8
02/02/2018;4,4;1005,2;20,2;27,7;22,9;20,3;85,6;60;4,7;1,5
03/02/2018;0,8;1004,7;21,8;28;24,1;21,7;87,4;66;4,3;1
04/02/2018;12,6;1007,6;21,6;24,4;22,4;21,6;95,1;86;5,6;1,6
05/02/2018;52,8;1007,4;20,7;27;22,1;19,2;92,1;74;9,8;1,5
06/02/2018;43;1005;22,7;27,7;24,2;21,7;91,5;81;11,3;3,5
07/02/2018;3;1005,4;22,7;29,7;24,4;22,8;90,3;71;9,5;1,9
08/02/2018;13,2;1008,1;22,2;30,5;25;21,4;85,5;56;6,3;1,4
09/02/2018;0,2;1009,9;23,5;29,3;25,3;23;89,9;73;10,1;2,5
10/02/2018;0;1010,4;22,3;30;25,9;21,7;81,7;63;12,7;4,2
11/02/2018;0;1010,2;21,2;32,2;26,3;22,6;75,1;44;13,4;4,5
12/02/2018;0;1009,1;21,8;31,2;25,5;19,7;80,8;60;12,1;3,5
13/02/2018;0;1009,8;22,6;33,1;26,8;22,8;78,5;51;13,2;4,4
14/02/2018;0;1012,9;22,6;30,7;26,3;22,1;80,8;58;8,6;2,3
15/02/2018;1,2;1014,2;22,3;30,6;25,5;22;83,6;60;9,3;1,9
16/02/2018;0;1014,1;22,1;31,1;25,4;21,3;83,2;55;6,1;1,4
17/02/2018;3,4;1012,1;22,2;30,6;25,4;22;83,5;60;9,5;1,9
18/02/2018;0;1009,3;21,7;31,7;25,8;21,1;79,4;51;11,8;3,2
19/02/2018;0;1007,4;21,5;31,8;26,3;22,6;76;56;13;3,8
20/02/2018;0;1006,8;22,1;32,3;26,7;23,6;76,5;54;11,8;4,1
21/02/2018;0;1006;22;32,2;27,1;25,1;74,2;52;12,1;4,8
22/02/2018;0;1005,7;22;32;27;24,5;74,7;55;10;4,4
23/02/2018;0;1007,1;23;34,7;26,7;24,6;81,2;51;9,8;2,9
24/02/2018;22;1010;21,6;29,8;25,6;23,5;79,3;61;11,1;4,1
25/02/2018;0;1011;21,5;30,2;25,4;21,8;79,8;57;9,1;2,9
26/02/2018;3,8;1010,5;22,4;31,1;25,5;22,3;83,8;49;10,9;2,9
27/02/2018;0;1009,2;22,2;33;27;23,1;76,2;50;10,5;3,8
28/02/2018;0;1007,6;22;33,2;27,2;23,6;74,1;53;11,6;4,8
01/03/2018;7,2;1009,4;22,2;33;27,1;23,2;75,6;50;10,9;3,5
02/03/2018;0;1009,4;21,4;32,8;27,3;24,2;71,1;53;13,6;4,2
03/03/2018;0;1007,1;21,5;31,8;26,7;23,4;73,8;55;10;4,1
04/03/2018;0;1005,4;21,4;32,3;26,8;24,9;72,8;52;9,4;3,2
05/03/2018;1,4;1003,6;23;33,7;26,5;24,3;81,4;59;8,8;3,3
06/03/2018;3;1004,8;24,1;30,8;26,4;23,7;87,6;69;5,9;1,2
07/03/2018;0;1005,6;23,1;32,6;26,6;22,3;82,3;54;7,6;1,3
08/03/2018;29,2;1005,7;24,7;31,3;26,2;24,1;91,8;73;8,5;1,4
09/03/2018;40,4;1007,4;23,1;27,9;25,1;24;88,9;74;11;2,9
10/03/2018;0;1007,5;21,7;30,4;25,7;22,7;79,1;60;8,5;1,6
11/03/2018;3,6;1003,9;23,7;31,9;25,3;23,4;91,6;63;7,9;2,3
12/03/2018;27,2;1003,5;22,8;30,8;26,2;22,3;82,6;61;6,3;1,7
13/03/2018;0;1006,2;23;31,5;25,9;21,2;85,5;60;7,3;1,4
14/03/2018;0;1009;23,6;31,2;26,6;23,3;84,5;60;11,3;2,6
15/03/2018;0;1009;23,9;31,7;27,2;23,4;83;65;11,9;3,8
16/03/2018;0;1007,3;23,3;34,3;27,8;24,3;77,3;54;11;4,4
17/03/2018;0;1008,5;23,3;27,7;24,2;23,4;94,4;82;12;1,4
18/03/2018;23,6;1008;22,5;30,3;25,2;22,3;86,2;64;5,4;1,6
19/03/2018;0,2;1006,5;22,2;33;26,4;21,9;79;53;11,5;3,7
20/03/2018;0;1006,8;22;32,3;26,4;23,6;77,6;52;12,5;4,7
21/03/2018;0;1007,9;22,4;28,8;25,5;24,1;83,4;66;8,3;3
22/03/2018;0;1008,6;22,9;28;24,7;23,3;90,3;72;5,6;1,3
23/03/2018;0,2;1010,5;22,7;30,1;25,5;21,6;85,2;64;9,9;2,6
24/03/2018;0,8;1012,4;21,7;30,7;25;21,3;83,4;54;7,6;1,6
25/03/2018;2,6;1012,4;21,8;30,2;25;21,5;83,7;58;8,8;2,1
26/03/2018;0,2;1012,1;21,4;30,6;25,4;21,5;80;55;8,1;2,4
27/03/2018;0;1013,2;21,4;30,3;24,6;20,5;83,1;61;7,4;1,8
28/03/2018;3,6;1012,9;21,9;30,5;25,1;21,3;83,8;58;6,3;1,4
29/03/2018;5,2;1012,1;21,8;30,3;25;21,5;83,7;59;6,5;1,6
30/03/2018;6,2;1011,1;21,9;30,4;24,9;21,2;84,3;59;5,7;1,6
31/03/2018;0;1010,2;21,4;30,6;25;20,5;81,4;59;7,2;2,1
01/04/2018;0,2;1008,6;21,7;30,8;25,3;20,4;82;57;10,5;2,6
02/04/2018;0;1006,9;21,7;32;26,4;22,8;76,8;51;10,3;3,8
03/04/2018;0;1004,6;22;33,5;26,9;22,9;75,6;50;9,6;4,1
04/04/2018;0;1005,8;22,9;30,7;25,1;23,3;88;66;6,9;1,8
05/04/2018;6,2;1006,8;22,7;29,4;24,6;21,9;89,8;71;4,6;1,3
06/04/2018;0;1007,8;23,2;30,5;24,9;23,6;90,8;69;5,9;1,3
07/04/2018;28,4;1010,4;22,4;27,5;24;22,2;91,5;76;8,3;2,2
08/04/2018;2,2;1011,7;21,9;29,8;24,5;21,5;85,8;65;7,3;2,2
09/04/2018;0,2;1012,5;21,5;30,2;24,7;21;83,7;54;6,8;1,7
10/04/2018;0,2;1013,4;20,6;30,1;24,3;20;80,9;54;7,3;1,9
11/04/2018;0,6;1013,9;20,8;27,7;23,1;21,2;87,6;70;9,8;1,8
12/04/2018;9,6;1014,2;21,1;27;22,9;19,6;90;76;9,2;1,7
13/04/2018;2,8;1013,9;22,8;30;25,3;22;86,8;62;6,4;1,4
14/04/2018;0,4;1014,6;21,8;30,8;24,9;20,6;84,3;59;5,5;1,5
15/04/2018;0;1014,7;21,7;29,9;24,6;21,6;84,7;58;9,5;2,3
16/04/2018;82,6;1014,7;21,3;26,1;23,3;21,8;88,5;74;12,2;2,7
17/04/2018;3,8;1016,8;19,2;26,8;22,8;20,5;81;62;10,7;3,1
18/04/2018;1,6;1018,4;18,9;27,2;22,3;19;82;58;11,3;2,9
19/04/2018;10,4;1017,2;19,3;28;22,5;19,9;83,3;50;5,8;1,9
20/04/2018;0,2;1014,6;18,8;28,3;22,8;19,1;79,6;57;6,5;2
21/04/2018;0;1013,1;18;28,6;22,3;18,4;78,5;50;5,3;1,8
22/04/2018;0;1013,6;19,1;28,1;22,2;18,6;82,9;59;7,2;2,3
23/04/2018;3,4;1014,6;20,6;27,8;22,5;20,2;89,1;69;11,5;1,8
24/04/2018;6;1015,3;21;28,8;23,7;21;85,9;62;6,2;1,4
25/04/2018;0,2;1015,3;21;29,5;24;19,9;84,3;59;7,2;1,8
26/04/2018;2,6;1014;21,6;29,3;23,7;20,8;88,8;66;6,3;1,8
27/04/2018;5,4;1014,2;21,2;28,1;23,3;21,3;88,5;63;7;1,5
28/04/2018;7,6;1015,1;20,5;27,5;22,7;20;87,8;67;7;2
29/04/2018;6,4;1015;19,7;28,9;22,9;19,4;83,4;56;6;2,1
30/04/2018;8,2;1014,3;20,3;27,9;23;19,8;85,8;66;8,9;2,2
01/05/2018;0;1013,2;19,8;30,2;23,5;18,6;81,7;51;5,3;1,6
02/05/2018;0,2;1014,5;19,2;29,4;22,8;17,4;80,8;54;8,8;2,3
03/05/2018;0;1014,4;20,8;29,2;23,4;19,5;86,2;64;8,6;2,1
04/05/2018;0,2;1014,4;21,5;28,2;23,2;20,8;90,5;73;6,3;1,3
05/05/2018;1;1015;21,7;26,2;23,2;21,4;91,2;76;6,5;1,9
06/05/2018;0;1014,9;20,4;29;23,3;19,8;85,1;58;7;1,9
07/05/2018;2,2;1015,3;20,7;26,7;22,6;20,4;89,4;68;8,1;1,9
08/05/2018;2,2;1014,2;20,1;27,1;22,5;19;87,2;65;9,7;2,5
09/05/2018;72,8;1015,7;20,2;24,6;21,4;20;93,3;79;14,5;2,1
10/05/2018;9,6;1015,9;18,4;27,6;21,6;17,8;83,4;54;5,7;1,7
11/05/2018;0,2;1014,4;17,1;27,7;21,8;17,9;76,8;44;6,8;2,5
12/05/2018;0;1010,2;18,4;31,4;23,4;17,6;75,4;49;9,5;3,2
13/05/2018;0;1011,6;20,1;27,8;22,9;18,9;84,8;69;10,5;2,8
14/05/2018;0,8;1014,7;20,3;24,3;21,9;21,3;91,2;81;7,7;2,1
15/05/2018;34,2;1014,5;20,7;25,7;21,7;20,3;94;75;6,5;2,4
16/05/2018;13,6;1011,2;20,7;29,8;24,3;20,8;81,7;56;10,3;3,3
17/05/2018;0;1012;20;27,7;23;19;84,1;67;10;2,8
18/05/2018;0;1012,4;21;28,9;23,4;20,6;87;65;6,3;1,4
19/05/2018;0;1008,5;20,7;29,4;24,8;21,5;79,4;58;13,2;4,6
20/05/2018;0;1006,1;20,2;29,6;24;22,5;80;56;9;2,8
21/05/2018;0;1012,4;16,4;25,8;20,5;17,2;78,1;52;6;2,1
22/05/2018;0;1014,7;16,7;26,7;20,5;16,3;79,8;57;6,7;2,3
23/05/2018;0;1015,5;18,4;27,3;21,2;16,9;85,4;59;4,7;1,5
24/05/2018;0;1018,5;18,4;26;21,3;16,6;84,6;63;9,3;2,2
25/05/2018;4,2;1018,1;19,1;21,7;19,9;19,5;95,3;85;8;2,3
26/05/2018;54,8;1018,2;18;23,5;19,5;18,3;91,5;67;6;1,8
27/05/2018;0,4;1018,4;17,2;26;20,2;16,2;83,6;63;8,4;2,5
28/05/2018;0,2;1019,3;17,6;25,8;20,8;17;83;61;9,9;3,1
29/05/2018;16,4;1019,3;18,6;26,7;21,2;18,3;85,7;63;7;2,3
30/05/2018;0,2;1016,7;18,3;25,9;20,8;17,5;86,5;67;7,9;2,3
31/05/2018;0;1014,6;17,9;26,9;20,9;17,2;84,3;56;5,9;1,7
01/06/2018;0;1013,5;19,5;27,2;22,3;18,7;84,5;62;7,3;2,5
02/06/2018;0;1013,4;20,1;28,7;23,1;18,4;84;62;7,3;2,6
03/06/2018;0,2;1014,5;20;28,9;22,7;18;85,5;63;11;2,5
04/06/2018;1;1017,8;18,4;23,9;21,2;20,1;84,8;71;12,6;4,3
05/06/2018;3,8;1014,9;17,4;24,9;20,1;16,8;85;64;6,5;1,8
06/06/2018;0,4;1010,6;18,3;26,7;21,7;18,6;82,4;61;9;3,4
07/06/2018;0;1011,7;19,4;27,4;21,8;17,7;86,7;68;6,2;1,9
08/06/2018;0;1012,6;20,4;27,7;22,7;20,5;87,1;66;12,2;3,3
09/06/2018;1,4;1017,6;18,8;24,1;21,3;19,3;86;71;7,1;1,9
10/06/2018;0,2;1016,5;19,5;26;22,1;19,7;85,7;70;9,3;2,4
11/06/2018;0;1014,4;19,5;26,6;22;19,2;86,5;67;9;3,2
12/06/2018;0;1012,9;19;28,9;22,4;17,1;82,4;58;11,2;3,5
13/06/2018;0;1012,5;20,2;30,2;23,9;20,5;81;57;8,4;3,7
14/06/2018;0;1014,6;20,6;28,7;23,6;19,3;83,9;64;12;2,9
15/06/2018;1,8;1018;19,1;23,6;21,5;20,1;86;76;9,7;3,1
16/06/2018;2,8;1018,4;20,1;26,3;21,5;19,6;91,7;71;5,3;1,6
17/06/2018;2;1019,5;19,9;26,5;22,2;19,6;87,4;69;7,8;2,5
18/06/2018;13,4;1020,6;19,7;22,4;20,8;19,8;93,5;87;10,8;2,8
19/06/2018;11,4;1021,6;18;25,1;20,6;19;85,6;60;7,8;2
20/06/2018;0,2;1020,2;17,4;25,7;20,2;16,9;84,5;64;5,2;2
21/06/2018;0;1017,9;17,8;25,3;null;16,1;89,6;63;7,9;2,2
22/06/2018;null;1015,3;18,3;28;21,2;15,6;85,3;56;6,2;1,4
23/06/2018;0,2;1014,9;18,9;28,4;21,5;15,9;86,6;56;9,1;2,6
24/06/2018;0;1014,9;19,9;28,7;23,5;19,4;81,3;58;7,8;3,2
25/06/2018;0;1013,8;19,5;28,7;22,4;17,1;84,7;56;10,3;3,5
26/06/2018;0;1013,1;19,1;29,1;23,4;18,6;78,6;51;10,4;4,5
27/06/2018;0;1014,4;18,8;29,7;22,4;17,4;81,5;50;8,3;2,9
28/06/2018;0;1016,8;19,3;27,7;22;17,7;85,8;60;7;1,4
29/06/2018;0;1016,4;19,1;25,1;21,1;19,2;88,6;65;4,7;1,5
30/06/2018;3,8;1013,5;19,4;26,1;21,8;18,4;87,3;69;8,3;2,3
01/07/2018;0;1012,5;19,3;28;21,9;17,5;86,3;59;10,5;2,6
02/07/2018;0;1012,5;19,5;27,9;22,2;17,7;85,9;58;9,1;2,8
03/07/2018;0;1011,7;19,2;29,4;22,7;18,5;82,4;56;6,1;1,9
04/07/2018;0;1014,4;19,5;26,8;22,5;18,5;83,7;62;8,2;2,4
05/07/2018;0;1015,2;19,2;28,3;22,5;18,1;82,6;53;7,6;2,7
06/07/2018;0;1015,3;17,8;28,3;21,2;15,5;82,5;49;5,6;1,9
07/07/2018;0;1015;16,6;28,1;20,7;14,4;79,7;40;10,9;2,9
08/07/2018;0;1013,3;17,7;29,8;22;15,8;78,6;47;7,3;2,5
09/07/2018;0;1012,7;18,4;30,5;22;15,7;81,6;49;6,3;1,7
10/07/2018;0;1013,4;18,3;28,9;22,3;16,9;80,5;49;9,7;3
11/07/2018;0;1016,5;15,9;22,5;19,6;17,9;79,5;64;10,1;3,8
12/07/2018;0;1019,1;14,2;22,3;19,5;17,1;72,3;55;8,6;2,7
13/07/2018;0;1017,5;16,8;25,5;20,3;16;81,2;62;8,6;2,5
14/07/2018;0;1015,7;17,7;27,8;20,9;16,2;83,4;57;7,5;2,3
15/07/2018;0;1016,4;18,4;27,8;21,6;16,7;83,5;57;10,2;2,5
16/07/2018;0;1017,6;18,7;27,9;21,8;16,4;83,7;56;10;2,8
17/07/2018;0;1018,2;19,2;28;22,6;18,2;82,3;60;9,4;2,7
18/07/2018;0;1018,3;18,2;27,2;21,2;17,3;84,3;58;8,7;2,2
19/07/2018;0;1016,4;17,4;27,7;21,3;16,3;79,8;50;10,6;2,8
20/07/2018;0;1015,7;16,9;27;20,8;15,9;79,9;53;10;3
21/07/2018;0;1015,2;17,5;28;21,2;15,5;80,7;55;11,6;3,3
22/07/2018;0;1016,7;18,3;28;21,3;15,1;84,1;60;7,5;1,7
23/07/2018;0;1018,7;18,6;27,7;21,4;17;85,1;60;7,3;1,7
24/07/2018;0;1019,3;17,3;27,5;20,7;16,8;82,8;50;7,1;2
25/07/2018;0,2;1020,2;17,5;24,5;19,3;17;89,6;68;7,3;2,3
26/07/2018;2,8;1019,7;17,5;26,9;20,7;17,6;83;56;6,5;2
27/07/2018;0,2;1018,1;16,6;26,8;20,1;16,5;81,3;60;6,8;2,2
28/07/2018;0;1016,5;16,6;27,9;20,4;16,1;80,6;50;7,4;2,6
29/07/2018;0;1014,5;17,3;28,8;21,6;15,8;78,1;46;11,1;3,8
30/07/2018;0;1012,6;17,8;29,5;23,4;18,8;72,1;45;11,8;4,9
31/07/2018;0;1011,6;18,1;30,2;22,9;16,5;76,5;45;11,7;3,8
01/08/2018;3,8;1014,3;18,5;25,8;21,3;18,7;84,4;60;9,8;2
02/08/2018;8,6;1015,2;18,7;22;19,7;18,4;93,9;85;5,1;1,5
03/08/2018;33,8;1014,2;19,5;25,1;20,7;18,6;93,2;76;12;2,5
04/08/2018;11;1011,2;19,5;25,9;22;20,2;86,1;65;10,5;3,4
05/08/2018;2,4;1011;19,8;26,8;21,7;17,2;89,3;71;6,7;1,7
06/08/2018;0;1014,8;19,7;27,1;22,5;18,9;85,3;63;4,5;1,3
07/08/2018;0,2;1016,8;18,9;23,4;21;19,3;87,9;77;7,4;2,4
08/08/2018;0,2;1017,9;19,5;24,9;21,3;19,6;89,3;74;5,9;1,3
09/08/2018;0,2;1013,4;20,5;28,9;23,2;19;85,8;59;9,1;3,2
10/08/2018;0;1009,6;20,3;29,8;24,1;21,6;80,6;57;10,7;3,6
11/08/2018;0;1011,7;19,8;24,1;21,2;19,2;91,9;79;7,6;2,7
12/08/2018;0,4;1014,3;15,9;24,5;20,4;18,3;75,8;53;9;3
13/08/2018;0,2;1014,1;15,8;26,4;21,1;15,3;73,1;48;12,3;3,1
14/08/2018;0;1014,3;15,5;25,8;20,8;17,3;73;49;10,1;2,6
15/08/2018;0;1014,8;16,7;27,4;20,5;15,1;80,5;50;7,3;1,8
16/08/2018;0;1018,5;18;26,6;21,1;17,4;83,4;58;6,6;1,3
17/08/2018;0;1020,6;18,2;22,9;19,7;19,2;91,2;77;6,8;1,7
18/08/2018;20;1019,9;17,4;22,4;18,9;16,7;90,8;77;9,5;2,3
19/08/2018;0,4;1019,3;16,7;26,5;19,7;15,6;84,3;58;6,8;2
20/08/2018;0;1019,3;17,7;27,1;20,8;15,8;83,3;59;8,6;2,2
21/08/2018;0;1019;18,8;26,7;21,8;17,8;84,3;62;8,8;2
22/08/2018;0;1017,7;18,7;27,3;21,6;17,7;84,1;62;9,1;2,6
23/08/2018;0;1015,3;18,8;27,9;22,2;17,4;82,5;58;11,2;3,1
24/08/2018;0;1015;18,8;28,2;22,9;17,6;78,8;57;11,1;3,8
25/08/2018;0;1014,9;18,9;30,3;24,1;19,9;74,5;45;12,2;4,7
26/08/2018;0;1016,4;19,2;28,5;22,9;18,3;81,2;53;12,4;3,1
27/08/2018;0,4;1019,3;17,8;21,8;19,9;19,1;87,7;74;11,6;4,5
28/08/2018;41,8;1021,1;18,1;22,2;19,6;18,4;91;72;8,3;2,3
29/08/2018;1,2;1020,3;17,7;26,2;20,7;16,3;83,7;59;6;1,7
30/08/2018;3,6;1017,1;19;26,8;21,8;18,2;84,8;65;7;2
31/08/2018;0,2;1014,2;17,9;28,7;21,6;16;81;49;12,7;3,5
01/09/2018;0;1013,1;18,5;28,4;22,6;17;78,4;54;12,5;4,3
02/09/2018;0;1012,7;18,9;28,6;23,4;19,8;76,8;54;13,3;5,3
03/09/2018;0;1009,6;18,2;30;23,7;19,6;72,5;48;13,1;5,6
04/09/2018;0;1006,2;19,4;29,9;24,5;21,6;74;51;12,4;4,8
05/09/2018;17;1013,3;16,7;23,3;20,4;18,8;80;61;14;3,4
06/09/2018;0;1018;15,9;24,3;20,6;18,5;74,7;60;12;3,5
07/09/2018;0;1018,3;15,6;25,1;20,5;16,6;74,5;52;9,5;2,4
08/09/2018;0;1016,9;15,2;26,2;20,9;16,9;71,7;45;6;1,3
09/09/2018;0;1016;16;27,1;21;16,7;74,5;49;8,5;2,1
10/09/2018;0;1015;17,1;27;20,5;16,4;82,5;54;6,6;1,4
11/09/2018;0;1013,9;17,8;26,3;20,6;16,2;85;57;6,5;1,5
12/09/2018;18,4;1016,5;17,6;22,7;19,9;18,4;87,3;67;6,1;1,9
13/09/2018;1,6;1016,4;17,1;22,9;19,6;17,5;86;68;5,6;1,9
14/09/2018;0;1012,6;16,6;25,6;20,6;15,3;78,8;61;13,9;3,8
15/09/2018;0;1009,5;17,2;27;22,6;19,5;72,5;55;11,5;4,1
16/09/2018;3,4;1009,7;19,4;27,4;22,3;19,6;84;64;10,3;2,7
17/09/2018;0;1011,4;19,3;24,7;21,5;18,8;87,7;71;4,2;1,5
18/09/2018;3,2;1009,4;21,2;24,7;22,7;20,2;91,5;84;9,4;3,3
19/09/2018;3;1009,8;21,8;31,6;25,5;22,4;81,3;54;11,2;4,3
20/09/2018;0;1011,6;21,4;31;25,4;22,7;79,5;57;11,8;5
21/09/2018;0;1011,2;20,5;29,5;24,9;23,2;77;54;13,2;4,8
22/09/2018;0;1010,9;20,4;29;23,7;20,7;82,1;62;8,7;2,2
23/09/2018;0;1011,7;19,5;27,8;23,1;17,7;81,4;58;6,7;1,9
24/09/2018;0;1010,8;20,6;31,5;25,2;21;77;46;13,3;4,3
25/09/2018;0;1011,1;20,3;30,2;24,7;21,2;77,4;52;14,7;4,8
26/09/2018;0;1012,1;20,2;28,1;24;20,7;79,8;61;14,3;4,7
27/09/2018;0;1009,6;19,7;31,7;25,2;20,5;73,2;46;14,5;5,2
28/09/2018;0;1010;20,6;32,2;25;19,9;77,5;51;10,4;4,1
29/09/2018;0;1011,7;21,3;28;24,1;22;84,8;68;7,7;2,1
30/09/2018;0;1011,6;21,8;27,5;24;21,7;88,4;71;6,1;1,8
01/10/2018;0;1011,2;20,7;30,6;24,9;20,8;78,5;50;13;4,7
02/10/2018;0;1010,6;20,4;31,6;25,7;22,8;73,2;48;14,1;6,1
03/10/2018;0;1009,8;20,8;31,8;25,7;22;75,4;49;14,3;5,5
04/10/2018;0;1009,9;20,7;32,6;25,8;22,6;74,2;54;9,8;3,5
05/10/2018;0;1012;21,1;27,5;24,2;23,1;83,5;69;9,8;3,4
06/10/2018;11;1014,7;18;23,9;21,2;19,9;82,1;67;8,6;2,9
07/10/2018;8,2;1015,2;19,6;24,9;21;19,1;91,8;73;7,3;1,7
08/10/2018;10,6;1013,1;20,9;28,7;24;21,1;83,6;62;12,4;4
09/10/2018;0;1010,8;20,2;31,4;25;21,1;76;47;14,5;5,4
10/10/2018;0;1009,1;19,9;31,6;26;23;70,1;47;15;6,3
11/10/2018;0;1011,3;20,8;31,2;25,8;23,8;74,4;47;12,9;4,5
12/10/2018;0;1013,2;21,1;29,6;25,4;22,1;77,8;59;13,2;4,4
13/10/2018;0;1010,1;20,5;32;25,6;21,5;74,6;47;13,2;5
14/10/2018;0;1008,3;20,9;29,6;24,4;21,6;80,8;61;10,9;3,5
15/10/2018;0;1008,8;19,5;28,9;23,5;19,8;78,8;52;7,8;2,1
16/10/2018;0;1010,2;20,6;26,2;22,7;21,3;88,3;72;5,8;1,7
17/10/2018;15,8;1011,8;21,7;24,8;22,6;21,1;95,1;88;9,7;2,3
18/10/2018;12,4;1009,1;22,6;27,9;24,3;22,4;90,3;78;12,9;3,6
19/10/2018;0,2;1005,1;22,3;30,9;24,4;23;88,4;63;9,2;2,9
20/10/2018;11,8;1009,3;18,5;25,5;22,7;20,1;78,6;49;17,8;6
21/10/2018;0;1013,2;15;24,3;20,7;18,3;70,5;49;10,2;2,8
22/10/2018;0;1014,3;15,8;25,9;21,3;16,6;71,7;55;7,3;2,4
23/10/2018;0;1011,7;17,9;28,6;22,5;16,5;76,2;56;13,1;4
24/10/2018;0;1011,4;20,4;29,2;24,5;21;78,2;62;8;3,1
25/10/2018;1,2;1011,8;20,9;24,3;22,2;22;92,8;76;7,9;1,7
26/10/2018;8,8;1007,6;21,8;28;22,9;20;93,4;74;9,5;1,5
27/10/2018;43;1002,4;22,7;31,1;25,2;22;86,6;64;11,8;4
28/10/2018;11,2;1006,8;19,4;24,8;23,2;22,7;79,4;67;10,5;3,6
29/10/2018;0;1012,6;17,9;22,7;20,1;18,3;87,4;71;10;2,5
30/10/2018;0,6;1014,1;18,8;26,7;21,9;18,8;83,2;63;6,2;1,9
31/10/2018;4,6;1012,7;21,8;27,6;23,2;20,9;91,8;76;8,3;2,4
01/11/2018;0;1008,4;22,4;32,1;25,9;22,1;82,2;52;11,9;3,8
02/11/2018;0;1009,5;21,4;27,9;24,9;23,7;81,3;64;11,4;2,9
03/11/2018;0;1008,2;21;30,5;24,5;19,5;81,7;64;12,4;3,3
04/11/2018;0;1006,4;21,6;31,5;25,9;22,2;78;57;10,3;3,5
05/11/2018;16,6;1011,1;20,8;24;21,7;21,6;94,8;87;10,7;3,2
06/11/2018;70,2;1012,3;21,1;26,2;22,3;20,2;92,6;76;10;2
07/11/2018;10,8;1011,9;21,7;28,5;23,5;20,8;90,1;71;10,2;2
08/11/2018;6,8;1013,6;20,6;24,1;21,5;20,3;95;85;9,5;1,9
09/11/2018;125,2;1014,3;20,2;23,3;20,9;19,4;95,8;91;10,6;2,3
